DATE,OPEN,HIGH,LOW,CLOSE,LTP,52WEEK_HIGH_PRICE,52WEEK_LOW_PRICE,TOT_TRADED_QTY,TOT_TRADED_VAL,TOTAL_TRADES,VWAP,SERIES
02-12-2024,125.8,129.93,124.0,129.2,128.9,132.3,111.5,43653965,5586626457.15,243963,127.98,EQ
03-12-2024,129.94,142.12,129.5,142.12,142.12,142.12,111.5,63550283,8836466872.85,197327,139.05,EQ
04-12-2024,151.3,155.35,144.0,147.65,147.9,155.35,111.5,92484595,13750214125.99,478454,148.68,EQ
05-12-2024,148.9,149.7,139.25,141.1,140.95,155.35,111.5,49314505,6988507379.01,294672,141.71,EQ
06-12-2024,141.8,146.2,139.67,143.99,143.6,155.35,111.5,33774224,4861180933.68,191174,143.93,EQ
09-12-2024,145.0,146.75,142.0,144.69,144.59,155.35,111.5,21477842,3107581237.9,138498,144.69,EQ
10-12-2024,145.15,149.6,142.13,146.65,146.55,155.35,111.5,39282395,5749990325.76,164404,146.38,EQ
11-12-2024,152.51,154.4,147.28,148.61,148.15,155.35,111.5,41058297,6151157317.38,190338,149.82,EQ
12-12-2024,148.4,148.43,142.1,143.39,143.7,155.35,111.5,16241529,2348859533.24,111624,144.62,EQ
13-12-2024,138.15,145.6,138.15,144.13,143.96,155.35,111.5,20380612,2905643918.66,108873,142.57,EQ
16-12-2024,144.12,144.8,141.0,141.73,142.0,155.35,111.5,10733898,1529722934.62,72016,142.51,EQ
17-12-2024,120.54,120.54,120.54,120.54,120.54,150.0,120.54,19888,2397299.52,532,120.54,BE
18-12-2024,114.51,114.51,114.51,114.51,114.51,150.0,114.51,7096,812562.96,430,114.51,BE
19-12-2024,108.78,108.78,108.78,108.78,108.78,150.0,108.78,11467,1247380.26,416,108.78,BE
20-12-2024,103.34,103.34,103.34,103.34,103.34,150.0,103.34,9438,975322.92,420,103.34,BE
23-12-2024,98.17,98.17,98.17,98.17,98.17,150.0,98.17,13921,1366624.57,396,98.17,BE
24-12-2024,93.26,93.26,93.26,93.26,93.26,150.0,93.26,9601,895389.26,366,93.26,BE
26-12-2024,88.59,88.59,88.59,88.59,88.59,150.0,88.59,22806,2020383.54,497,88.59,BE
27-12-2024,126,126,117.7,124.28,125.95,143.3,39.6,5978,735344.92,39,123.01,BE
